category,sub_category,name,unit,metric_id
Social,Workers in the value chain,Managing material risks and opportunities related to value chain workers,strings,117
Social,Affected communities,Reduction of negative impacts on affected communities,%?,118
Social,Affected communities,Advancing positive impacts on affected communities,%?,119
Social,Affected communities,Managing material risks and opportunities related to affected communities,?,120
Social,Consumers and end-users,Reduction of negative impacts on consumers and/or end-users,%?,121
Social,Consumers and end-users,Advancing positive impacts on consumers and/or end-users,%?,122
Social,Consumers and end-users,Managing material risks and opportunities related to consumers and/or end-users,?,123
Governance,Business conduct,Total number of confirmed incidents of corruption or bribery,decimal,124
Governance,Business conduct,Nature of confirmed incidents of corruption or bribery,strings,125
Governance,Business conduct,Number of convictions for violation of anti- corruption and anti-bribery laws,decimal,126
Governance,Business conduct,Amount of fines for violation of anti- corruption and anti-bribery laws,$,127
Governance,Business conduct,Details of public legal cases regarding corruption or bribery brought against the undertaking and it's own workers,strings,128
Governance,Business conduct,Number of confirmed incidents in which own workers were dismissed or disciplined for corruption or bribery-related incidents,decimal,129
Governance,Business conduct,Number of confirmed incidents relating to contracts with business partners that were terminated or not renewed due to violations related to corruption or bribery,decimal,130
Governance,Business conduct,"Representatives responsible in the administrative, management, supervisory bodies for the oversight of these activities",strings,131
Governance,Business conduct,Total monetary value of financial and in-kind political contributions made directly and indirectly by the undertaking,decimal,132
Governance,Business conduct,Main topics covered by it's lobbying activities and the undertaking's main positions on these in brief,strings,133
Governance,Business conduct,Average time the undertaking takes to pay an invoice,days,134
Governance,Business conduct,Description of undertaking's standard payment terms in number of days by main category of suppliers,strings,135
Governance,Business conduct,Percentage of payments aligned with the standard payment terms,%,136
Governance,Business conduct,Number of legal proceedings (currently outstanding),decimal,137
